version,url,full-version,install-mode
3,https://www.python.org/ftp/python/3.5.0/python-3.5.0.exe,3.5.0,exe1
3.5,https://www.python.org/ftp/python/3.5.0/python-3.5.0.exe,3.5.0,exe1
3.5.0,https://www.python.org/ftp/python/3.5.0/python-3.5.0.exe,3.5.0,exe1
3.4,https://www.python.org/ftp/python/3.4.3/python-3.4.3.msi,3.4.3,msi1
3.4x64,https://www.python.org/ftp/python/3.4.3/python-3.4.3.amd64.msi,3.4.3x64,msi1
3.4.3x64,https://www.python.org/ftp/python/3.4.3/python-3.4.3.amd64.msi,3.4.3x64,msi1
3.4.3,https://www.python.org/ftp/python/3.4.3/python-3.4.3.msi,3.4.3,msi1
3.4.1x64,https://www.python.org/ftp/python/3.4.1/python-3.4.1.amd64.msi,3.4.1x64,msi1
3.4.1,https://www.python.org/ftp/python/3.4.1/python-3.4.1.msi,3.4.1,msi1
3.4.0,https://www.python.org/ftp/python/3.4.0/python-3.4.0.msi,3.4.0,msi1
3.3,https://www.python.org/ftp/python/3.3.5/python-3.3.5.msi,3.3.5,msi1
3.3.5,https://www.python.org/ftp/python/3.3.5/python-3.3.5.msi,3.3.5,msi1
3.3.4,https://www.python.org/ftp/python/3.3.4/python-3.3.4.msi,3.3.4,msi1
3.3.3,https://www.python.org/ftp/python/3.3.3/python-3.3.3.msi,3.3.3,msi1
3.3.2,https://www.python.org/ftp/python/3.3.2/python-3.3.2.msi,3.3.2,msi1
3.3.1,https://www.python.org/ftp/python/3.3.1/python-3.3.1.msi,3.3.1,msi1
3.3.0,https://www.python.org/ftp/python/3.3.0/python-3.3.0.msi,3.3.0,msi1
3.2,https://www.python.org/ftp/python/3.2.5/python-3.2.5.msi,3.2.5,msi1
3.2.5,https://www.python.org/ftp/python/3.2.5/python-3.2.5.msi,3.2.5,msi1
3.2.4,https://www.python.org/ftp/python/3.2.4/python-3.2.4.msi,3.2.4,msi1
3.2.3,https://www.python.org/ftp/python/3.2.3/python-3.2.3.msi,3.2.3,msi1
3.2.2,https://www.python.org/ftp/python/3.2.2/python-3.2.2.msi,3.2.2,msi1
3.2.1,https://www.python.org/ftp/python/3.2.1/python-3.2.1.msi,3.2.1,msi1
3.1,https://www.python.org/ftp/python/3.1.4/python-3.1.4.msi,3.1.4,msi1
3.1.4,https://www.python.org/ftp/python/3.1.4/python-3.1.4.msi,3.1.4,msi1
3.1.3,https://www.python.org/ftp/python/3.1.3/python-3.1.3.msi,3.1.3,msi1
3.1.2,https://www.python.org/ftp/python/3.1.2/python-3.1.2.msi,3.1.2,msi1
3.1.1,https://www.python.org/ftp/python/3.1.1/python-3.1.1.msi,3.1.1,msi1
3.0,https://www.python.org/ftp/python/3.0.3/python-3.0.3.msi.3.0.3,msi1
3.0.3,https://www.python.org/ftp/python/3.0.3/python-3.0.3.msi.3.0.3,msi1
3.0.2,https://www.python.org/ftp/python/3.0.2/python-3.0.2.msi.3.0.2,msi1
3.0.1,https://www.python.org/ftp/python/3.0.1/python-3.0.1.msi.3.0.1,msi1
3.0.0,https://www.python.org/ftp/python/3.0.0/python-3.0.0.msi.3.0.0,msi1
3.4.1x64,https://www.python.org/ftp/python/3.4.1/python-3.4.1.amd64.msi,3.4.1x64,msi1
3.4.0x64,https://www.python.org/ftp/python/3.4.0/python-3.4.0.amd64.msi,3.4.0x64,msi1
3.3x64,https://www.python.org/ftp/python/3.3.5/python-3.3.5.amd64.msi,3.3.5x64,msi1
3.3.5x64,https://www.python.org/ftp/python/3.3.5/python-3.3.5.amd64.msi,3.3.5x64,msi1
3.3.4x64,https://www.python.org/ftp/python/3.3.4/python-3.3.4.amd64.msi,3.3.4x64,msi1
3.3.3x64,https://www.python.org/ftp/python/3.3.3/python-3.3.3.amd64.msi,3.3.3x64,msi1
3.3.2x64,https://www.python.org/ftp/python/3.3.2/python-3.3.2.amd64.msi,3.3.2x64,msi1
3.3.1x64,https://www.python.org/ftp/python/3.3.1/python-3.3.1.amd64.msi,3.3.1x64,msi1
3.3.0x64,https://www.python.org/ftp/python/3.3.0/python-3.3.0.amd64.msi,3.3.0x64,msi1
3.2x64,https://www.python.org/ftp/python/3.2.5/python-3.2.5.amd64.msi,3.2.5x64,msi1
3.2.5x64,https://www.python.org/ftp/python/3.2.5/python-3.2.5.amd64.msi,3.2.5x64,msi1
3.2.4x64,https://www.python.org/ftp/python/3.2.4/python-3.2.4.amd64.msi,3.2.4x64,msi1
3.2.3x64,https://www.python.org/ftp/python/3.2.3/python-3.2.3.amd64.msi,3.2.3x64,msi1
3.2.2x64,https://www.python.org/ftp/python/3.2.2/python-3.2.2.amd64.msi,3.2.2x64,msi1
3.2.1x64,https://www.python.org/ftp/python/3.2.1/python-3.2.1.amd64.msi,3.2.1x64,msi1
2.7,https://www.python.org/ftp/python/2.7.10/python-2.7.10.msi,2.7.10,msi1
2.7.10,https://www.python.org/ftp/python/2.7.10/python-2.7.10.msi,2.7.10,msi1
2.7.9,https://www.python.org/ftp/python/2.7.9/python-2.7.9.msi,2.7.9,msi1
2.7.8,https://www.python.org/ftp/python/2.7.8/python-2.7.8.msi,2.7.8,msi1
2.7.7,https://www.python.org/ftp/python/2.7.7/python-2.7.7.msi,2.7.7,msi1
2.7.6,https://www.python.org/ftp/python/2.7.6/python-2.7.6.msi,2.7.6,msi1
2.7.5,https://www.python.org/ftp/python/2.7.5/python-2.7.5.msi,2.7.5,msi1
2.7.4,https://www.python.org/ftp/python/2.7.4/python-2.7.4.msi,2.7.4,msi1
2.7.3,https://www.python.org/ftp/python/2.7.3/python-2.7.3.msi,2.7.3,msi1
2.7.2,https://www.python.org/ftp/python/2.7.2/python-2.7.2.msi,2.7.2,msi1
2.7.1,https://www.python.org/ftp/python/2.7.1/python-2.7.1.msi,2.7.1,msi1
2.7.0,https://www.python.org/ftp/python/2.7.0/python-2.7.0.msi,2.7.0,msi1
2.6,https://www.python.org/ftp/python/2.6.6/python-2.6.6.msi,2.6.6,msi1
2.6.6,https://www.python.org/ftp/python/2.6.6/python-2.6.6.msi,2.6.6,msi1
2.6.5,https://www.python.org/ftp/python/2.6.5/python-2.6.5.msi,2.6.5,msi1
2.6.4,https://www.python.org/ftp/python/2.6.4/python-2.6.4.msi,2.6.4,msi1
2.6.3,https://www.python.org/ftp/python/2.6.3/python-2.6.3.msi,2.6.3,msi1
2.6.2,https://www.python.org/ftp/python/2.6.2/python-2.6.2.msi,2.6.2,msi1
2.6.1,https://www.python.org/ftp/python/2.6.1/python-2.6.1.msi,2.6.1,msi1
2.6.0,https://www.python.org/ftp/python/2.6/python-2.6.msi,2.6.0,msi1
